control	mutant	uniprot	symbol	logfc	pvalue	fdr	qvalue	score
wt	xbp	Q9DB41	Slc25a18	0.18552545612980736	0.011286416766058184	0.549577821130668	0.3446795960093105	1.94744391686436
wt	xbp	Q9QVP9	Ptk2b	-0.2810151072099429	0.013683003767242389	0.549577821130668	0.3446795960093105	-1.8638185534682266
wt	xbp	Q3UH99	Shisa6	-0.38960529610343997	0.014092022948280275	0.549577821130668	0.3446795960093105	-1.8510266582595023
wt	xbp	Q91VW3	Sh3bgrl3	-0.34772826354151715	0.0142683455292959	0.549577821130668	0.3446795960093105	-1.8456263821168664
wt	xbp	A2ASZ8	Slc25a25	0.1744598469409821	0.014925386891079202	0.549577821130668	0.3446795960093105	1.8260744024107851
wt	xbp	Q8K010	Oplah	-0.18528226987368962	0.01574973651168344	0.549577821130668	0.3446795960093105	-1.8027267074286109
wt	xbp	Q91ZP9	Necab2	-0.230009687268652	0.01660318059402441	0.549577821130668	0.3446795960093105	-1.779808708217804
wt	xbp	D3Z7P3	Gls	-0.16372731298988863	0.016665135724355986	0.549577821130668	0.3446795960093105	-1.778191145003821
wt	xbp	Q8CGP0	Hist3h2bb	1.1193896285189497	0.01701536724087832	0.549577821130668	0.3446795960093105	1.7691586731349753
wt	xbp	Q56A07	Scn2b	-0.23228120136657557	0.017095729194992727	0.549577821130668	0.3446795960093105	-1.7671123702340092
wt	xbp	Q8R5H6	Wasf1	-0.2390904879663336	0.01759136848744563	0.549577821130668	0.3446795960093105	-1.7547003741054532
wt	xbp	Q80U28	Madd	-0.15554928845549282	0.018074060612759686	0.549577821130668	0.3446795960093105	-1.7429442656127763
